name,study_hours,sleep_hours,attendance_pct,score,passed
Student_1,5.993428306022466,7.3240839693947954,70.84629257949585,85.10194641254745,1
Student_2,4.72347139765763,6.6149177195836835,80.79354677234642,76.9879116996172,1
Student_3,6.295377076201385,6.323077999694041,81.57285483473231,84.0809054515264,1
Student_4,8.046059712816051,7.611676288840868,76.9772273077838,100.0,1
Student_5,4.531693250553328,8.03099952249595,83.3871428833399,78.7970502809139,1
Student_6,4.531726086101639,7.931280119116199,89.04050856814538,75.25676440735728,1
Student_7,8.158425631014783,6.160782476777362,100.0,100.0,1
Student_8,6.534869458305818,6.690787624148785,86.74577812831839,94.05342895779856,1
Student_9,4.061051228130096,7.331263431403564,87.57550390722764,67.46707037400294,1
Student_10,6.085120087171929,7.975545127122359,84.25554084233833,93.1914812474908,1
Student_11,4.0731646143750755,6.52082576215471,65.81228784700959,60.49724644227629,1
Student_12,4.068540492859486,6.8143410233361825,84.73486124550783,75.53288738191286,1
Student_13,5.483924543132068,5.893665025993972,85.60230209941027,87.1323949219046,1
Student_14,1.1734395106844042,5.803793375919329,100.0,46.89169124555534,0
Student_15,1.5501643349739345,7.812525822394198,83.07639035218878,57.76616407645811,1
Student_16,3.8754249415180544,8.356240028570824,88.01547342333612,76.18442625096941,1
Student_17,2.9743377593311524,6.927989878419666,84.65288230294756,67.15684732234527,1
Student_18,5.628494665190548,8.003532897892024,73.31321962380468,92.51295391771956,1
Student_19,3.1839518489575784,7.361636025047634,96.4282281451502,67.8964147052866,1
Student_20,2.175392597329417,6.354880245394876,92.51933032686775,54.100019545697954,1
Student_21,7.931297537843108,7.361395605508414,92.91031947043047,100.0,1
Student_22,4.548447399026928,8.53803656646597,75.9061254520526,72.15643853593596,1
Student_23,5.1350564093758475,6.964173960890048,99.02794310936099,84.33167358252466,1
Student_24,2.1505036275730864,8.564643655814006,70.98148937207719,57.33352301791908,1
Student_25,3.9112345509496347,4.380254895910255,90.8685709380027,68.69441147746849,1
Student_26,5.2218451794197325,7.821902504375224,100.0,91.55448268928842,1
Student_27,2.6980128451553944,7.087047068238172,75.09463674869312,58.351597381716964,1
Student_28,5.751396036691344,6.7009926495341325,79.33702270397228,90.48193078957728,1
Student_29,3.79872262016239,7.091760776535502,85.99651365087641,69.04897244344326,1
Student_30,4.416612500413446,5.012431085399108,79.965243458838,82.94818104470528,1
Student_31,3.796586775541206,6.780328112162488,69.49336568933867,67.90969687428125,1
Student_32,8.704556369017876,7.357112571511746,85.68562974806028,100.0,1
Student_33,4.973005550524132,8.477894044741516,74.37696286273895,73.69845886219221,1
Student_34,2.8845781420881993,6.481729781726353,89.73592430635182,65.37322406827977,1
Student_35,6.645089824206378,6.191506397106813,75.80575765766197,87.168144758534,1
Student_36,2.5583127000579555,6.498242956415464,100.0,67.03298998375503,1
Student_37,5.4177271900095105,7.915402117702074,77.16746707663764,84.68905000133924,1
Student_38,1.0806597522404489,7.3287511096596845,81.77938483794324,47.47245112534157,0
Student_39,2.343627902203139,6.470239796232962,93.1351721736967,55.39608587185803,1
Student_40,5.393722471738247,7.513267433113356,72.69135683566044,72.4094855674015,1
Student_41,6.476933159990821,7.0970775493480405,87.2745993460413,89.95942542209993,1
Student_42,5.342736562379941,7.968644990532889,98.07142754282428,92.38260471456995,1
Student_43,4.768703435223519,6.297946906122648,68.92516765438772,72.49354031100079,1
Student_44,4.3977926088214225,6.672337853402232,86.84633858532304,68.35222425941282,1
Student_45,2.0429560192651453,6.607891846867842,87.59882794248423,56.70498485985803,1
Student_46,3.5603115832105825,5.536485051867881,92.81822871777311,69.32751828339654,1
Student_47,4.078722458080425,7.296120277064576,72.63049289121918,64.59188090513263,1
Student_48,7.114244452437831,7.261055272179889,71.79543386915724,93.74332185433724,1
Student_49,5.687236579136923,7.005113456642461,90.21941565616898,86.864987835461,1
Student_50,1.473919689274532,6.765412866624853,87.96984673233186,45.99828577799241,0
